,centroidX,centroidY,angleBetweenLegs,lengthOfLeftLeg,lengthOfRightLeg,class
79,161.0,338.0,0.0,104.73776778220929,104.73776778220929,walking
80,118.0,335.0,-59.77280603164144,115.87061750072793,119.28118040998756,walking
81,108.0,333.0,-60.182829276392766,116.86744627996285,114.40279716860071,walking
82,103.0,330.0,-51.82214578632281,116.70903992407786,102.9271587094485,walking
83,553.0,340.0,0.0,265.9191606484948,265.9191606484948,walking
84,551.0,340.0,0.0,262.77176408434747,262.77176408434747,walking
85,543.0,340.0,0.0,271.41296947640507,271.41296947640507,walking
86,544.0,340.0,0.0,269.1802370160187,269.1802370160187,walking
87,45.0,336.0,0.0,105.57461816175324,105.57461816175324,walking
88,536.0,340.0,0.0,281.5386296762844,281.5386296762844,walking
89,41.0,335.0,0.0,105.17128885774862,105.17128885774862,walking
90,534.0,341.0,0.0,280.61539515856924,280.61539515856924,walking
91,530.0,340.0,0.0,283.93309070976557,283.93309070976557,walking
92,34.0,340.0,0.0,101.2719112093773,101.2719112093773,walking
93,527.0,369.0,0.0,275.28167392690716,275.28167392690716,walking
94,29.0,402.0,0.0,40.49691346263317,40.49691346263317,walking
95,12.0,411.0,0.0,18.248287590894655,18.248287590894655,walking
96,11.0,408.0,0.0,17.11724276862369,17.11724276862369,walking
97,795.0,434.0,0.0,14.142135623730953,14.142135623730953,walking
98,7.0,437.0,-23.23616151122252,20.099751242241776,19.924858845171276,walking
99,15.0,433.0,0.0,22.561028345356956,22.561028345356956,walking
100,11.0,418.0,0.0,39.05124837953328,39.05124837953328,walking
101,17.0,413.0,0.0,44.407206622349044,44.407206622349044,walking
102,15.0,386.0,0.0,70.25667228100119,70.25667228100119,walking
103,8.0,378.0,-10.919630438459032,79.30952023559341,78.40918313565062,walking
104,14.0,357.0,0.0,100.17983829094557,100.17983829094557,walking
105,9.0,357.0,0.0,100.01999800039987,100.01999800039987,walking
106,26.0,354.0,0.0,102.07840124139877,102.07840124139877,walking
107,15.0,355.0,0.0,102.0441081101697,102.0441081101697,walking
108,22.0,351.0,0.0,105.38500842150177,105.38500842150177,walking
109,17.0,354.0,0.0,103.12128781197411,103.12128781197411,walking
110,18.0,354.0,-6.178881023195343,103.12128781197411,101.17806086301516,walking
111,16.0,354.0,0.0,103.00485425454471,103.00485425454471,walking
112,68.0,352.0,-62.46158356965835,114.63420083029322,124.47088012864697,walking
113,76.0,351.0,-64.3767551912969,115.03912377969505,128.42507543311004,walking
114,122.0,356.0,0.0,106.28264204469139,106.28264204469139,walking
115,130.0,356.0,0.0,105.62196741208714,105.62196741208714,walking
116,125.0,355.0,0.0,105.51303237041385,105.51303237041385,walking
117,141.0,354.0,0.0,105.99056561788883,105.99056561788883,walking
118,144.0,354.0,0.0,106.04244433244644,106.04244433244644,walking
119,145.0,354.0,0.0,105.11898020814318,105.11898020814318,walking
120,142.0,354.0,0.0,103.48429832588128,103.48429832588128,walking
121,148.0,354.0,0.0,103.81714694596455,103.81714694596455,walking
122,153.0,354.0,0.0,103.69667304209908,103.69667304209908,walking
123,156.0,348.0,0.0,100.4987562112089,100.4987562112089,walking
124,167.0,354.0,0.0,103.23759005323592,103.23759005323592,walking
125,166.0,354.0,0.0,103.1746092796091,103.1746092796091,walking
126,205.0,360.0,0.0,107.48953437428224,107.48953437428224,walking
127,217.0,354.0,0.0,105.75916035975324,105.75916035975324,walking
128,247.0,356.0,0.0,105.30432089900205,105.30432089900205,walking
129,255.0,357.0,0.0,105.30432089900205,105.30432089900205,walking
130,263.0,357.0,0.0,104.69479452198183,104.69479452198183,walking
131,268.0,356.0,0.0,104.9952379872535,104.9952379872535,walking
132,273.0,362.0,0.0,106.04244433244644,106.04244433244644,walking
133,277.0,357.0,0.0,103.58088626768935,103.58088626768935,walking
134,280.0,357.0,0.0,102.83968105745953,102.83968105745953,walking
135,276.0,357.0,0.0,100.71742649611336,100.71742649611336,walking
136,275.0,357.0,0.0,100.31948963187561,100.31948963187561,walking
137,289.0,362.0,0.0,103.48429832588128,103.48429832588128,walking
138,290.0,362.0,0.0,102.82509421342631,102.82509421342631,walking
139,295.0,360.0,0.0,105.23307464861037,105.23307464861037,walking
140,292.0,359.0,0.0,105.01904589168576,105.01904589168576,walking
141,308.0,359.0,0.0,105.01904589168576,105.01904589168576,walking
142,302.0,362.0,-11.138312613766734,103.58571330062848,102.39628899525607,walking
143,311.0,360.0,-6.810047091733525,105.17128885774862,97.18538984847466,walking
144,349.0,354.0,-66.83167778971925,115.3819743287486,122.78843593759144,walking
145,392.0,357.0,0.0,104.69479452198183,104.69479452198183,walking
146,401.0,357.0,0.0,105.30432089900205,105.30432089900205,walking
147,367.0,357.0,-72.31327441829701,119.26860441876562,127.91403363196703,walking
148,412.0,357.0,0.0,103.58088626768935,103.58088626768935,walking
149,419.0,357.0,0.0,102.83968105745953,102.83968105745953,walking
150,432.0,355.0,0.0,104.13932974625868,104.13932974625868,walking
151,433.0,354.0,0.0,104.34557968596465,104.34557968596465,walking
152,436.0,354.0,0.0,104.23531071570707,104.23531071570707,walking
153,435.0,354.0,0.0,104.39348638684312,104.39348638684312,walking
154,434.0,354.0,0.0,103.1746092796091,103.1746092796091,walking
155,439.0,354.0,0.0,103.69667304209908,103.69667304209908,walking
156,446.0,348.0,0.0,100.4041831797859,100.4041831797859,walking
157,459.0,354.0,0.0,103.9471019317037,103.9471019317037,walking
158,486.0,354.0,0.0,103.81714694596455,103.81714694596455,walking
159,495.0,360.0,0.0,107.70793842609743,107.70793842609743,walking
160,521.0,360.0,0.0,107.70793842609743,107.70793842609743,walking
161,526.0,354.0,0.0,107.56393447619885,107.56393447619885,walking
162,540.0,359.0,0.0,108.41586599755591,108.41586599755591,walking
163,549.0,362.0,0.0,105.99056561788883,105.99056561788883,walking
164,545.0,362.0,0.0,106.48004507887853,106.48004507887853,walking
165,555.0,362.0,0.0,105.01904589168576,105.01904589168576,walking
166,546.0,362.0,0.0,104.73776778220929,104.73776778220929,walking
167,558.0,360.0,0.0,106.7052013727541,106.7052013727541,walking
168,560.0,359.0,0.0,105.92922165295089,105.92922165295089,walking
169,566.0,360.0,0.0,106.0660171779821,106.0660171779821,walking
170,571.0,359.0,0.0,105.6834897228512,105.6834897228512,walking
171,578.0,359.0,0.0,105.6834897228512,105.6834897228512,walking
172,577.0,360.0,0.0,105.30432089900205,105.30432089900205,walking
173,573.0,360.0,0.0,105.04284840006957,105.04284840006957,walking
174,585.0,360.0,0.0,105.0047617967871,105.0047617967871,walking
175,579.0,362.0,0.0,102.12247548899313,102.12247548899313,walking
176,588.0,362.0,0.0,102.0441081101697,102.0441081101697,walking
177,620.0,357.0,-43.412668239531016,111.40017953306895,111.36426715962352,walking
178,619.0,357.0,-51.58147957126994,115.52056094046638,115.24755962709146,walking
179,671.0,357.0,0.0,101.6070863670443,101.6070863670443,walking
180,679.0,357.0,0.0,104.69479452198183,104.69479452198183,walking
181,641.0,357.0,-63.44056679056445,117.13667231059623,116.81181447096863,walking
182,673.0,362.0,0.0,104.56098698845568,104.56098698845568,walking
183,689.0,362.0,0.0,105.32331175955302,105.32331175955302,walking
184,702.0,362.0,0.0,104.08650248711405,104.08650248711405,walking
185,695.0,362.0,0.0,104.39348638684312,104.39348638684312,walking
186,698.0,362.0,0.0,104.73776778220929,104.73776778220929,walking
187,717.0,361.0,-1.6853256101955805,104.00480758118829,101.01980003939822,walking
188,691.0,362.0,0.0,103.39245620450264,103.39245620450264,walking
189,706.0,360.0,0.0,105.0761628534274,105.0761628534274,walking
190,701.0,360.0,0.0,105.0047617967871,105.0047617967871,walking
191,718.0,354.0,0.0,103.39245620450264,103.39245620450264,walking
192,727.0,354.0,0.0,103.01941564578979,103.01941564578979,walking
193,732.0,360.0,0.0,105.47511554864492,105.47511554864492,walking
194,745.0,360.0,0.0,105.6834897228512,105.6834897228512,walking
195,756.0,362.0,0.0,103.58571330062848,103.58571330062848,walking
196,776.0,362.0,0.0,104.56098698845568,104.56098698845568,walking
197,738.0,359.0,-7.297488739847813,106.30145812734648,96.13012014972207,walking
198,746.0,350.0,-11.711930103437389,115.73245007343446,76.32168761236875,walking
199,766.0,357.0,-38.84361663650336,114.16216536138408,96.79876032264049,walking
200,766.0,357.0,-37.07288586669728,111.97321108193691,96.79876032264049,walking
201,777.0,354.0,-27.47283087251248,105.26157893552612,96.54014708917735,walking
202,773.0,351.0,-31.724568007202695,108.93117092916977,92.7200086281273,walking
203,780.0,348.0,-21.83183680827907,102.18121158021177,92.39588735436224,walking
204,779.0,362.0,-31.52593879865945,91.08238029388559,79.83107164506814,walking
205,778.0,418.0,-84.28940686250036,32.526911934581186,28.42534080710379,walking
206,787.0,425.0,-13.122183520247614,31.144823004794873,30.26549190084311,walking
207,782.0,412.0,-57.01202618382332,50.606323715519984,30.4138126514911,walking
208,780.0,383.0,-41.44381890574489,79.30952023559341,60.08327554319921,walking
209,776.0,367.0,-37.344565571676064,96.00520819205593,75.69015788066504,walking
210,778.0,314.0,-104.60444744679012,146.7412689055127,20.0,walking
211,772.0,352.0,-37.20747578261394,111.32834320154055,85.07055894961546,walking
212,772.0,351.0,-27.83733414021456,107.87029248129441,84.77027781009096,walking
213,773.0,349.0,-33.79656513477065,113.84199576606163,94.3716058992322,walking
214,769.0,349.0,-39.496360034711486,115.87924749496783,95.81753492967768,walking
